pubdate	url	eml	dwca	title	icode	description	contact	orgname	email	emlrights	count	citation	networks	harvestid	id	associatedmedia	associatedoccurrences	associatedreferences	associatedsequences	associatedtaxa	basisofrecord	bed	behavior	catalognumber	collectioncode	collectionid	continent	coordinateprecision	coordinateuncertaintyinmeters	country	countrycode	county	datageneralizations	dateidentified	day	decimallatitude	decimallongitude	disposition	earliestageorloweststage	earliesteonorlowesteonothem	earliestepochorlowestseries	earliesteraorlowesterathem	earliestperiodorlowestsystem	enddayofyear	establishmentmeans	eventattributes	eventdate	eventid	eventremarks	eventtime	fieldnotes	fieldnumber	footprintspatialfit	footprintwkt	formation	geodeticdatum	geologicalcontextid	georeferenceprotocol	georeferenceremarks	georeferencesources	georeferenceverificationstatus	georeferencedby	group	habitat	highergeography	highergeographyid	highestbiostratigraphiczone	identificationattributes	identificationid	identificationqualifier	identificationreferences	identificationremarks	identifiedby	individualcount	individualid	informationwithheld	institutioncode	island	islandgroup	latestageorhigheststage	latesteonorhighesteonothem	latestepochorhighestseries	latesteraorhighesterathem	latestperiodorhighestsystem	lifestage	lithostratigraphicterms	locality	locationattributes	locationid	locationremarks	lowestbiostratigraphiczone	maximumdepthinmeters	maximumdistanceabovesurfaceinmeters	maximumelevationinmeters	measurementaccuracy	measurementdeterminedby	measurementdetermineddate	measurementid	measurementmethod	measurementremarks	measurementtype	measurementunit	measurementvalue	member	minimumdepthinmeters	minimumdistanceabovesurfaceinmeters	minimumelevationinmeters	month	occurrenceattributes	occurrencedetails	occurrenceid	occurrenceremarks	othercatalognumbers	pointradiusspatialfit	preparations	previousidentifications	recordnumber	recordedby	relatedresourceid	relationshipaccordingto	relationshipestablisheddate	relationshipofresource	relationshipremarks	reproductivecondition	resourceid	resourcerelationshipid	samplingprotocol	sex	startdayofyear	stateprovince	taxonattributes	typestatus	verbatimcoordinatesystem	verbatimcoordinates	verbatimdepth	verbatimelevation	verbatimeventdate	verbatimlatitude	verbatimlocality	verbatimlongitude	waterbody	year	footprintsrs	georeferenceddate	identificationverificationstatus	institutionid	locationaccordingto	municipality	occurrencestatus	ownerinstitutioncode	samplingeffort	verbatimsrs	locationaccordingto7	taxonid	taxonconceptid	datasetid	datasetname	source	modified	accessrights	rights	rightsholder	language	higherclassification	kingdom	phylum	classs	order	family	genus	subgenus	specificepithet	infraspecificepithet	scientificname	scientificnameid	vernacularname	taxonrank	verbatimtaxonrank	infraspecificmarker	scientificnameauthorship	nomenclaturalcode	namepublishedin	namepublishedinid	taxonomicstatus	nomenclaturalstatus	nameaccordingto	nameaccordingtoid	parentnameusageid	parentnameusage	originalnameusageid	originalnameusage	acceptednameusageid	acceptednameusage	taxonremarks	dynamicproperties	namepublishedinyear	season	dummy
Fri Jan 06 00:00:00 PST 2012	http://specify.thomasmore.edu:8080/ipt/resource.do?r=cmc_ornithology_grc	http://specify.thomasmore.edu:8080/ipt/eml.do?r=cmc_ornithology_grc	http://specify.thomasmore.edu:8080/ipt/archive.do?r=cmc_ornithology_grc	CMC_ornithology_GRC	CMC	Genomic resource collection (GRC) for ornithology at Cincinnati Museum Center's Museum of Natural History and Science. Collection consists primarily of vouchered frozen tissues kept at -80 degrees Celsius as well as blood samples from banded birds, isolated genomic DNA and other materials for use in molecular genetic and other biomolecular studies.	Herman Mays	Cincinnati Museum Center	hmays@cincymuseum.org		1258		ORNIS	0ab8f42c-74f0-42f3-993b-86235b245ccb	f20db363-4776-47cf-b57c-e185a2010ed0						Skin; Tissue			B39990	ORNI-T		NA			NA		NA																			captive bird																										CMC										NA																												Skin; Tissue			Hance, Patsy												NA							11/23/2005																												Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Psephotus		dissimilis		Psephotus dissimilis						Collett, 1898																	unknown	;
Fri Jan 06 00:00:00 PST 2012	http://specify.thomasmore.edu:8080/ipt/resource.do?r=cmc_ornithology_grc	http://specify.thomasmore.edu:8080/ipt/eml.do?r=cmc_ornithology_grc	http://specify.thomasmore.edu:8080/ipt/archive.do?r=cmc_ornithology_grc	CMC_ornithology_GRC	CMC	Genomic resource collection (GRC) for ornithology at Cincinnati Museum Center's Museum of Natural History and Science. Collection consists primarily of vouchered frozen tissues kept at -80 degrees Celsius as well as blood samples from banded birds, isolated genomic DNA and other materials for use in molecular genetic and other biomolecular studies.	Herman Mays	Cincinnati Museum Center	hmays@cincymuseum.org		1258		ORNIS	390ea8a6-12ba-426b-aed5-8f24ef64e5de	60c9fbdb-7dcc-4c3a-aaea-205639a041dc						Skin; Tissue			B41586	ORNI-T		NA			NA		NA																																													CMC										NA																												Skin; Tissue			Mays, Herman												NA																																			Animalia	Chordata	Aves	Galliformes	Phasianidae	Phasianus		colchicus		Phasianus colchicus						Linnaeus, 1758																	unknown	;
Fri Jan 06 00:00:00 PST 2012	http://specify.thomasmore.edu:8080/ipt/resource.do?r=cmc_ornithology_grc	http://specify.thomasmore.edu:8080/ipt/eml.do?r=cmc_ornithology_grc	http://specify.thomasmore.edu:8080/ipt/archive.do?r=cmc_ornithology_grc	CMC_ornithology_GRC	CMC	Genomic resource collection (GRC) for ornithology at Cincinnati Museum Center's Museum of Natural History and Science. Collection consists primarily of vouchered frozen tissues kept at -80 degrees Celsius as well as blood samples from banded birds, isolated genomic DNA and other materials for use in molecular genetic and other biomolecular studies.	Herman Mays	Cincinnati Museum Center	hmays@cincymuseum.org		1258		ORNIS	dc03d6be-b68c-4c98-822b-b850cf648e69	c5d0bf6e-6b5d-4f47-a0ac-bbd2070cceef						Skin; Tissue			B36961	ORNI-T		Asia			Republic of the Philippines		Baco																				NMP/CMNHB946																									CMC										Barangay Lantuyan; Hanglo; Dulangan River drainage; north ridge approach Mount Halcon																												Skin; Tissue			Kennedy, Robert												Province of Mindoro Oriental							06/01/1992																												Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Accipiter		virgatus		Accipiter virgatus																							unknown	;
Fri Jan 06 00:00:00 PST 2012	http://specify.thomasmore.edu:8080/ipt/resource.do?r=cmc_ornithology_grc	http://specify.thomasmore.edu:8080/ipt/eml.do?r=cmc_ornithology_grc	http://specify.thomasmore.edu:8080/ipt/archive.do?r=cmc_ornithology_grc	CMC_ornithology_GRC	CMC	Genomic resource collection (GRC) for ornithology at Cincinnati Museum Center's Museum of Natural History and Science. Collection consists primarily of vouchered frozen tissues kept at -80 degrees Celsius as well as blood samples from banded birds, isolated genomic DNA and other materials for use in molecular genetic and other biomolecular studies.	Herman Mays	Cincinnati Museum Center	hmays@cincymuseum.org		1258		ORNIS	24e674d2-e2e3-4ff2-88cb-da6d1ed41eab	c31a4dca-3d47-4f8d-9db2-14458ca542a9						Skin; Tissue			B36968	ORNI-T		Asia			Republic of the Philippines		Baco																				NMP/CMNHB964																									CMC										Barangay Lantuyan; Hanglo; Dulangan River drainage; north ridge approach Mount Halcon																												Skin; Tissue			Kennedy, Robert												Province of Mindoro Oriental							06/05/1992																												Animalia	Chordata	Aves	Passeriformes	Turdidae	Brachypteryx		montana		Brachypteryx montana						Horsfield, 1821																	unknown	;
Fri Jan 06 00:00:00 PST 2012	http://specify.thomasmore.edu:8080/ipt/resource.do?r=cmc_ornithology_grc	http://specify.thomasmore.edu:8080/ipt/eml.do?r=cmc_ornithology_grc	http://specify.thomasmore.edu:8080/ipt/archive.do?r=cmc_ornithology_grc	CMC_ornithology_GRC	CMC	Genomic resource collection (GRC) for ornithology at Cincinnati Museum Center's Museum of Natural History and Science. Collection consists primarily of vouchered frozen tissues kept at -80 degrees Celsius as well as blood samples from banded birds, isolated genomic DNA and other materials for use in molecular genetic and other biomolecular studies.	Herman Mays	Cincinnati Museum Center	hmays@cincymuseum.org		1258		ORNIS	f4031a82-f9b0-4a13-bef7-b2a389fac9be	6343d958-78e5-4720-bb1b-5d4b65f6a2d5						Skin; Tissue			B36970	ORNI-T		Asia			Republic of the Philippines		Baco																				NMP/CMNHB949																									CMC										Barangay Lantuyan; Hanglo; Dulangan River drainage; north ridge approach Mount Halcon																												Skin; Tissue			Kennedy, Robert												Province of Mindoro Oriental							06/06/1992																												Animalia	Chordata	Aves	Passeriformes	Turdidae	Turdus		poliocephalus		Turdus poliocephalus						Latham, 1802																	unknown	;
Fri Jan 06 00:00:00 PST 2012	http://specify.thomasmore.edu:8080/ipt/resource.do?r=cmc_ornithology_grc	http://specify.thomasmore.edu:8080/ipt/eml.do?r=cmc_ornithology_grc	http://specify.thomasmore.edu:8080/ipt/archive.do?r=cmc_ornithology_grc	CMC_ornithology_GRC	CMC	Genomic resource collection (GRC) for ornithology at Cincinnati Museum Center's Museum of Natural History and Science. Collection consists primarily of vouchered frozen tissues kept at -80 degrees Celsius as well as blood samples from banded birds, isolated genomic DNA and other materials for use in molecular genetic and other biomolecular studies.	Herman Mays	Cincinnati Museum Center	hmays@cincymuseum.org		1258		ORNIS	ee1c0819-6064-4bc3-a62d-7cf7dbe739be	36951c0e-a551-4ae5-80c1-0ee9031d9ed1						Skin; Tissue			B36971	ORNI-T		Asia			Republic of the Philippines		Baco																				NMP/CMNHB959																									CMC										Barangay Lantuyan; Hanglo; Dulangan River drainage; north ridge approach Mount Halcon																												Skin; Tissue			Kennedy, Robert												Province of Mindoro Oriental							06/04/1992																												Animalia	Chordata	Aves	Passeriformes	Sylviidae	Phylloscopus		trivirgatus		Phylloscopus trivirgatus						Strickland, 1849																	unknown	;
Fri Jan 06 00:00:00 PST 2012	http://specify.thomasmore.edu:8080/ipt/resource.do?r=cmc_ornithology_grc	http://specify.thomasmore.edu:8080/ipt/eml.do?r=cmc_ornithology_grc	http://specify.thomasmore.edu:8080/ipt/archive.do?r=cmc_ornithology_grc	CMC_ornithology_GRC	CMC	Genomic resource collection (GRC) for ornithology at Cincinnati Museum Center's Museum of Natural History and Science. Collection consists primarily of vouchered frozen tissues kept at -80 degrees Celsius as well as blood samples from banded birds, isolated genomic DNA and other materials for use in molecular genetic and other biomolecular studies.	Herman Mays	Cincinnati Museum Center	hmays@cincymuseum.org		1258		ORNIS	b499ebd0-d2cd-4e2e-89f6-8ad0af1c88cf	f041aafa-2c38-4576-a6db-65d143dc5772						Skin; Tissue			B36972	ORNI-T		Asia			Republic of the Philippines		Baco																				NMP/CMNHB961																									CMC										Barangay Lantuyan; Hanglo; Dulangan River drainage; north ridge approach Mount Halcon																												Skin; Tissue			Kennedy, Robert												Province of Mindoro Oriental							06/04/1992																												Animalia	Chordata	Aves	Passeriformes	Sylviidae	Phylloscopus		trivirgatus		Phylloscopus trivirgatus						Strickland, 1849																	unknown	;
Fri Jan 06 00:00:00 PST 2012	http://specify.thomasmore.edu:8080/ipt/resource.do?r=cmc_ornithology_grc	http://specify.thomasmore.edu:8080/ipt/eml.do?r=cmc_ornithology_grc	http://specify.thomasmore.edu:8080/ipt/archive.do?r=cmc_ornithology_grc	CMC_ornithology_GRC	CMC	Genomic resource collection (GRC) for ornithology at Cincinnati Museum Center's Museum of Natural History and Science. Collection consists primarily of vouchered frozen tissues kept at -80 degrees Celsius as well as blood samples from banded birds, isolated genomic DNA and other materials for use in molecular genetic and other biomolecular studies.	Herman Mays	Cincinnati Museum Center	hmays@cincymuseum.org		1258		ORNIS	cdd5dbff-9d65-4a47-a86f-fd20a2965d31	c43dda92-471b-4f7a-ba14-b5ccf61a4d38						Skin; Tissue			B36974	ORNI-T		Asia			Republic of the Philippines		Baco																				NMP/CMNHB975																									CMC										Barangay Lantuyan; Hanglo; Dulangan River drainage; north ridge approach Mount Halcon																												Skin; Tissue			Kennedy, Robert												Province of Mindoro Oriental							06/05/1992																												Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Eumyias		panayensis		Eumyias panayensis						Sharpe, 1877																	unknown	;
Fri Jan 06 00:00:00 PST 2012	http://specify.thomasmore.edu:8080/ipt/resource.do?r=cmc_ornithology_grc	http://specify.thomasmore.edu:8080/ipt/eml.do?r=cmc_ornithology_grc	http://specify.thomasmore.edu:8080/ipt/archive.do?r=cmc_ornithology_grc	CMC_ornithology_GRC	CMC	Genomic resource collection (GRC) for ornithology at Cincinnati Museum Center's Museum of Natural History and Science. Collection consists primarily of vouchered frozen tissues kept at -80 degrees Celsius as well as blood samples from banded birds, isolated genomic DNA and other materials for use in molecular genetic and other biomolecular studies.	Herman Mays	Cincinnati Museum Center	hmays@cincymuseum.org		1258		ORNIS	5c650996-8fdc-4254-8d90-fd7395748d96	5d33e402-a684-43ff-bba6-461d654fba4d						Skin; Tissue			B36975	ORNI-T		Asia			Republic of the Philippines		Baco																				NMP/CMNHB979																									CMC										Barangay Lantuyan; Hanglo; Dulangan River drainage; north ridge approach Mount Halcon																												Skin; Tissue			Kennedy, Robert												Province of Mindoro Oriental							06/06/1992																												Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Eumyias		panayensis		Eumyias panayensis						Sharpe, 1877																	unknown	;
Fri Jan 06 00:00:00 PST 2012	http://specify.thomasmore.edu:8080/ipt/resource.do?r=cmc_ornithology_grc	http://specify.thomasmore.edu:8080/ipt/eml.do?r=cmc_ornithology_grc	http://specify.thomasmore.edu:8080/ipt/archive.do?r=cmc_ornithology_grc	CMC_ornithology_GRC	CMC	Genomic resource collection (GRC) for ornithology at Cincinnati Museum Center's Museum of Natural History and Science. Collection consists primarily of vouchered frozen tissues kept at -80 degrees Celsius as well as blood samples from banded birds, isolated genomic DNA and other materials for use in molecular genetic and other biomolecular studies.	Herman Mays	Cincinnati Museum Center	hmays@cincymuseum.org		1258		ORNIS	97e74d63-61e6-4f6d-aa11-61f2ea6e14a9	81151d40-88d1-4370-add6-fa0bf9d73d03						Skin; Tissue			B36977	ORNI-T		Asia			Republic of the Philippines		Baco																				NMP/CMNHB985																									CMC										Barangay Lantuyan; Hanglo; Dulangan River drainage; north ridge approach Mount Halcon																												Skin; Tissue			Kennedy, Robert												Province of Mindoro Oriental							06/07/1992																												Animalia	Chordata	Aves	Passeriformes	Laniidae	Lanius		validirostris		Lanius validirostris						Ogilvie-Grant, 1894																	unknown	;
